"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$21,214,967",2016-06-30,"$20,324,524",2016-03-31,"$17,557,662",2015-12-31,"$16,836,073",2015-09-30,"$16,598,601",2015-06-30,"$16,278,848",2015-03-31,"$16,127,090",2014-12-31,"$15,757,045",2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$143,625,325",2016-06-30,"$142,430,207",2016-03-31,"$141,082,059",2015-12-31,"$141,917,763",2015-09-30,"$141,658,130",2015-06-30,"$140,469,916",2015-03-31,"$138,705,640",2014-12-31,"$134,187,722",2014-09-30,"$132,562,382",2014-06-30,"$129,654,487",2014-03-31,"$129,685,180",2013-12-31,"$124,939,419",2013-09-30,"$122,642,935",2013-06-30,"$120,789,641",2013-03-31,"$121,500,604",2012-12-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,508,702",2016-06-30,"$12,714,370",2016-03-31,"$12,573,019",2015-12-31,"$12,820,989",2015-09-30,"$12,578,813",2015-06-30,"$13,147,919",2015-03-31,"$12,727,835",2014-12-31,"$12,643,280",2014-09-30,"$12,523,251",2014-06-30,"$12,819,428",2014-03-31,"$12,656,925",2013-12-31,"$12,787,450",2013-09-30,"$12,803,169",2013-06-30,"$13,005,877",2013-03-31,"$13,099,741",2012-12-31
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$32,230,403",2016-06-30,"$32,195,657",2016-03-31,"$31,475,934",2015-12-31,"$31,449,824",2015-09-30,"$30,896,855",2015-06-30,"$30,853,649",2015-03-31,"$30,075,113",2014-12-31,"$21,942,491",2014-09-30,"$22,062,840",2014-06-30,"$22,154,997",2014-03-31,"$21,199,091",2013-12-31,"$21,511,352",2013-09-30,"$21,308,822",2013-06-30,"$21,351,012",2013-03-31,"$21,283,651",2012-12-31
"FIRST HAWAIIAN, INC. (1025608)","HONOLULU, HI","$19,052,593",2016-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$27,541,899",2016-06-30,"$26,965,746",2016-03-31,"$26,196,388",2015-12-31,"$25,388,586",2015-09-30,"$25,241,144",2015-06-30,"$25,716,964",2015-03-31,"$25,674,034",2014-12-31,"$23,987,518",2014-09-30,"$24,223,920",2014-06-30,"$23,942,809",2014-03-31,"$23,791,187",2013-12-31,"$24,194,150",2013-09-30,"$25,134,331",2013-06-30,"$25,167,457",2013-03-31,"$25,521,022",2012-12-31
"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL","$10,995,810",2016-06-30,"$10,728,922",2016-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$18,783,090",2016-06-30,"$18,509,333",2016-03-31,"$18,346,653",2015-12-31,"$17,721,789",2015-09-30,"$17,624,149",2015-06-30,"$17,163,986",2015-03-31,"$17,465,465",2014-12-31,"$17,082,710",2014-09-30,"$16,754,901",2014-06-30,"$16,573,510",2014-03-31,"$16,271,487",2013-12-31,"$15,977,890",2013-09-30,"$15,466,494",2013-06-30,"$15,890,934",2013-03-31,"$16,409,360",2012-12-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,998,293",2016-06-30,"$40,078,307",2016-03-31,"$39,925,857",2015-12-31,"$39,418,193",2015-09-30,"$39,069,002",2015-06-30,"$38,912,925",2015-03-31,"$38,557,544",2014-12-31,"$37,977,082",2014-09-30,"$38,632,971",2014-06-30,"$37,996,061",2014-03-31,"$37,643,867",2013-12-31,"$37,380,836",2013-09-30,"$37,171,775",2013-06-30,"$36,887,625",2013-03-31,"$36,912,808",2012-12-31
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$16,235,257",2016-06-30,"$16,074,822",2016-03-31,"$15,553,681",2015-12-31,"$15,097,919",2015-09-30,"$15,172,163",2015-06-30,"$15,092,422",2015-03-31,"$14,542,268",2014-12-31,"$14,052,107",2014-09-30,"$13,941,733",2014-06-30,"$14,009,813",2014-03-31,"$13,384,848",2013-12-31,"$13,169,177",2013-09-30,"$13,022,264",2013-06-30,"$13,078,898",2013-03-31,"$12,874,974",2012-12-31
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$26,153,691",2016-06-30,"$26,083,503",2016-03-31,"$25,537,212",2015-12-31,"$25,255,384",2015-09-30,"$25,301,876",2015-06-30,"$25,125,546",2015-03-31,"$24,909,640",2014-12-31,"$24,610,114",2014-09-30,"$24,566,414",2014-06-30,"$24,500,602",2014-03-31,"$23,912,451",2013-12-31,"$24,140,030",2013-09-30,"$23,534,261",2013-06-30,"$15,273,159",2013-03-31,"$14,916,022",2012-12-31
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$13,723,711",2016-06-30,"$13,736,630",2016-03-31,"$13,714,830",2015-12-31,"$12,519,193",2015-09-30,"$12,139,403",2015-06-30,"$11,571,146",2015-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$11,807,815",2013-09-30,"$12,735,017",2013-06-30,"$13,094,150",2013-03-31,"$14,082,012",2012-12-31
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$16,563,673",2014-06-30,"$16,023,672",2014-03-31,"$15,793,167",2013-12-31,"$15,280,194",2013-09-30,"$15,214,337",2013-06-30,"$14,710,099",2013-03-31,"$14,261,070",2012-12-31
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$18,433,910",2016-06-30,"$18,081,922",2016-03-31,"$17,867,010",2015-12-31,"$17,795,149",2015-09-30,"$17,322,400",2015-06-30,"$17,315,750",2015-03-31,"$17,083,180",2014-12-31,"$17,209,511",2014-09-30,"$17,010,044",2014-06-30,"$16,884,185",2014-03-31,"$16,908,633",2013-12-31,"$17,023,087",2013-09-30,"$17,001,720",2013-06-30,"$16,659,671",2013-03-31,"$16,509,261",2012-12-31
"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT",NA,NA,"$287,622,464",2016-03-31,"$318,826,145",2015-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT",NA,NA,NA,NA,NA,NA,"$436,641,069",2015-09-30,"$466,871,489",2015-06-30,"$481,614,979",2015-03-31,"$508,255,287",2014-12-31,"$514,312,251",2014-09-30,"$516,270,747",2014-06-30,"$516,913,616",2014-03-31,"$524,005,141",2013-12-31,"$528,643,825",2013-09-30,"$529,030,139",2013-06-30,"$537,952,605",2013-03-31,"$548,771,829",2012-12-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$896,870,000",2016-06-30,"$878,102,000",2016-03-31,"$861,419,000",2015-12-31,"$880,607,000",2015-09-30,"$859,932,000",2015-06-30,"$865,512,000",2015-03-31,"$856,301,000",2014-12-31,"$868,995,000",2014-09-30,"$860,008,000",2014-06-30,"$915,705,000",2014-03-31,"$911,595,000",2013-12-31,"$923,359,000",2013-09-30,"$938,611,000",2013-06-30,"$959,426,000",2013-03-31,"$938,770,000",2012-12-31
"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD","$11,453,222",2016-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$23,071,656",2016-06-30,"$22,817,169",2016-03-31,"$22,848,776",2015-12-31,"$21,615,845",2015-09-30,"$21,550,936",2015-06-30,"$20,728,010",2015-03-31,"$20,752,202",2014-12-31,"$19,996,647",2014-09-30,"$19,355,777",2014-06-30,"$19,020,567",2014-03-31,"$19,025,806",2013-12-31,"$18,820,201",2013-09-30,"$18,954,524",2013-06-30,"$19,092,456",2013-03-31,"$19,523,765",2012-12-31
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,979,239",2016-06-30,"$11,870,506",2016-03-31,"$11,790,196",2015-12-31,"$11,573,466",2015-09-30,"$11,439,631",2015-06-30,"$11,273,447",2015-03-31,"$11,184,161",2014-12-31,"$10,670,471",2014-09-30,"$10,617,143",2014-06-30,"$10,458,070",2014-03-31,"$10,340,044",2013-12-31,"$10,429,012",2013-09-30,"$10,238,145",2013-06-30,"$10,298,569",2013-03-31,"$10,149,132",2012-12-31
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$13,077,902",2016-06-30,"$11,731,928",2016-03-31,"$11,867,001",2015-12-31,"$12,389,456",2015-09-30,"$12,477,198",2015-06-30,"$12,562,893",2015-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$295,534,689",2016-06-30,"$289,057,276",2016-03-31,"$271,888,608",2015-12-31,"$291,611,246",2015-09-30,"$277,249,331",2015-06-30,"$301,956,685",2015-03-31,"$290,100,702",2014-12-31,"$280,272,469",2014-09-30,"$289,551,194",2014-06-30,"$308,847,926",2014-03-31,"$290,013,881",2013-12-31,"$309,312,154",2013-09-30,"$319,108,739",2013-06-30,"$301,737,107",2013-03-31,"$313,680,754",2012-12-31
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",NA,NA,NA,NA,NA,NA,"$35,121,018",2015-09-30,"$35,417,458",2015-06-30,"$36,129,290",2015-03-31,"$36,569,082",2014-12-31,"$37,161,125",2014-09-30,"$37,700,645",2014-06-30,"$38,231,106",2014-03-31,"$38,607,354",2013-12-31,"$39,186,560",2013-09-30,"$39,696,453",2013-06-30,"$40,283,892",2013-03-31,"$40,596,341",2012-12-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$73,954,016",2016-06-30,"$72,644,967",2016-03-31,"$71,044,551",2015-12-31,"$70,210,178",2015-09-30,"$68,845,648",2015-06-30,"$68,002,661",2015-03-31,"$66,298,010",2014-12-31,"$64,330,629",2014-09-30,"$63,797,113",2014-06-30,"$61,145,753",2014-03-31,"$59,476,344",2013-12-31,"$56,648,251",2013-09-30,"$56,113,687",2013-06-30,"$56,054,966",2013-03-31,"$56,153,185",2012-12-31
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$20,160,855",2016-06-30,"$20,092,563",2016-03-31,"$19,504,068",2015-12-31,"$19,534,225",2015-09-30,"$19,238,928",2015-06-30,"$16,420,009",2015-03-31,"$15,758,605",2014-12-31,"$15,516,609",2014-09-30,"$15,325,042",2014-06-30,"$13,550,924",2014-03-31,"$13,365,550",2013-12-31,"$13,145,077",2013-09-30,"$12,823,503",2013-06-30,"$12,951,199",2013-03-31,"$13,129,678",2012-12-31
"IMB HOLDCO LLC (3923614)","PASADENA, CA",NA,NA,NA,NA,NA,NA,NA,NA,"$21,707,102",2015-06-30,"$21,341,478",2015-03-31,"$21,871,146",2014-12-31,"$22,011,643",2014-09-30,"$22,566,793",2014-06-30,"$21,807,098",2014-03-31,"$23,498,336",2013-12-31,"$24,269,655",2013-09-30,"$25,468,760",2013-06-30,"$25,416,957",2013-03-31,"$25,938,843",2012-12-31
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,776,640",2016-06-30,"$11,878,689",2016-03-31,"$11,772,869",2015-12-31,"$12,052,216",2015-09-30,"$12,074,129",2015-06-30,"$12,374,402",2015-03-31,"$12,196,520",2014-12-31,"$12,079,187",2014-09-30,"$12,436,467",2014-06-30,"$12,144,185",2014-03-31,"$12,079,477",2013-12-31,"$12,076,658",2013-09-30,"$11,596,913",2013-06-30,"$11,520,172",2013-03-31,"$11,882,673",2012-12-31
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$21,733,831",2016-06-30,"$21,200,387",2016-03-31,"$20,898,693",2015-12-31,"$20,336,160",2015-09-30,"$19,954,834",2015-06-30,"$19,298,905",2015-03-31,"$18,722,282",2014-12-31,"$17,781,789",2014-09-30,"$17,389,665",2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$16,371,463",2014-03-31,"$15,605,073",2013-12-31,"$13,751,425",2013-09-30,"$13,314,260",2013-06-30,"$12,890,433",2013-03-31,"$12,765,099",2012-12-31
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$35,453,189",2016-06-30,"$34,750,522",2016-03-31,"$33,532,782",2015-12-31,"$35,063,293",2015-09-30,"$35,216,517",2015-06-30,"$34,189,333",2015-03-31,"$33,736,295",2014-12-31,"$35,316,750",2014-09-30,"$34,923,883",2014-06-30,"$33,333,935",2014-03-31,"$31,676,590",2013-12-31,"$31,546,545",2013-09-30,"$30,737,599",2013-06-30,"$29,028,299",2013-03-31,"$27,844,699",2012-12-31
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,466,096,000",2016-06-30,"$2,423,808,000",2016-03-31,"$2,351,698,000",2015-12-31,"$2,417,121,000",2015-09-30,"$2,447,994,000",2015-06-30,"$2,577,148,000",2015-03-31,"$2,572,773,000",2014-12-31,"$2,526,655,000",2014-09-30,"$2,519,995,000",2014-06-30,"$2,476,650,000",2014-03-31,"$2,415,689,000",2013-12-31,"$2,463,309,000",2013-09-30,"$2,439,494,000",2013-06-30,"$2,389,349,000",2013-03-31,"$2,359,141,000",2012-12-31
"KEYCORP (1068025)","CLEVELAND, OH","$101,406,977",2016-06-30,"$98,570,702",2016-03-31,"$95,270,648",2015-12-31,"$95,476,859",2015-09-30,"$94,674,550",2015-06-30,"$94,296,497",2015-03-31,"$93,882,115",2014-12-31,"$89,884,477",2014-09-30,"$91,934,784",2014-06-30,"$90,928,218",2014-03-31,"$92,991,716",2013-12-31,"$91,016,413",2013-09-30,"$90,858,779",2013-06-30,"$89,441,210",2013-03-31,"$89,425,613",2012-12-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$123,820,584",2016-06-30,"$124,625,632",2016-03-31,"$122,787,884",2015-12-31,"$97,797,062",2015-09-30,"$97,080,076",2015-06-30,"$98,379,397",2015-03-31,"$96,687,224",2014-12-31,"$97,230,366",2014-09-30,"$90,835,002",2014-06-30,"$88,530,360",2014-03-31,"$85,162,391",2013-12-31,"$84,427,485",2013-09-30,"$83,229,005",2013-06-30,"$82,794,833",2013-03-31,"$82,985,468",2012-12-31
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,197,613",2016-06-30,"$20,575,872",2016-03-31,"$22,085,979",2015-12-31,"$20,115,945",2015-09-30,"$21,175,196",2015-06-30,"$21,460,706",2015-03-31,"$22,424,584",2014-12-31,"$20,619,281",2014-09-30,"$21,317,986",2014-06-30,"$21,633,260",2014-03-31,"$22,445,600",2013-12-31,"$20,430,578",2013-09-30,"$21,039,759",2013-06-30,"$20,991,349",2013-03-31,"$22,270,036",2012-12-31
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$15,995,790",2016-06-30,"$15,575,653",2016-03-31,"$15,585,007",2015-12-31,"$14,950,100",2015-09-30,"$15,018,194",2015-06-30,"$14,328,310",2015-03-31,"$14,602,099",2014-12-31,"$14,506,043",2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$12,301,042",2016-06-30,"$11,988,136",2016-03-31,"$11,605,700",2015-12-31,"$11,717,650",2015-09-30,"$11,682,787",2015-06-30,"$10,843,278",2015-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$10,441,287",2013-03-31,NA,NA
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$15,097,370",2016-06-30,"$14,850,115",2016-03-31,"$14,754,514",2015-12-31,"$14,635,439",2015-09-30,"$14,581,780",2015-06-30,"$14,324,798",2015-03-31,"$14,131,105",2014-12-31,"$13,999,399",2014-09-30,"$13,827,163",2014-06-30,"$13,587,385",2014-03-31,"$13,398,445",2013-12-31,"$13,130,667",2013-09-30,"$12,950,314",2013-06-30,"$12,695,879",2013-03-31,"$12,385,909",2012-12-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$828,873,000",2016-06-30,"$807,497,000",2016-03-31,"$787,465,000",2015-12-31,"$834,113,000",2015-09-30,"$825,755,000",2015-06-30,"$829,099,000",2015-03-31,"$801,510,000",2014-12-31,"$814,511,000",2014-09-30,"$826,524,000",2014-06-30,"$831,338,000",2014-03-31,"$832,666,000",2013-12-31,"$832,223,000",2013-09-30,"$802,691,000",2013-06-30,"$801,383,000",2013-03-31,"$780,960,000",2012-12-31
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$117,205,079",2016-06-30,"$120,914,763",2016-03-31,"$116,210,191",2015-12-31,"$115,163,500",2015-09-30,"$114,265,672",2015-06-30,"$113,697,697",2015-03-31,"$113,678,090",2014-12-31,"$110,882,044",2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$38,009,856",2016-06-30,"$37,383,572",2016-03-31,"$35,629,398",2015-12-31,"$35,579,796",2015-09-30,"$35,183,677",2015-06-30,"$35,586,515",2015-03-31,"$34,481,170",2014-12-31,"$34,377,381",2014-09-30,"$34,182,325",2014-06-30,"$33,288,652",2014-03-31,"$32,233,999",2013-12-31,"$32,117,623",2013-09-30,"$31,386,118",2013-06-30,"$31,422,988",2013-03-31,"$30,993,057",2012-12-31
"NATIONAL AMERICAS HOLDINGS LLC (3719965)","NEW YORK, NY",NA,NA,NA,NA,NA,NA,NA,NA,"$10,220,212",2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$36,667,697",2016-06-30,"$35,947,340",2016-03-31,"$35,923,712",2015-12-31,"$35,636,495",2015-09-30,"$35,438,759",2015-06-30,"$34,987,245",2015-03-31,"$34,711,195",2014-12-31,"$33,915,903",2014-09-30,"$33,615,965",2014-06-30,"$32,872,949",2014-03-31,"$32,675,758",2013-12-31,"$32,483,356",2013-09-30,"$172,019,212",2013-06-30,"$171,812,600",2013-03-31,"$168,343,642",2012-12-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$49,035,747",2016-06-30,"$48,515,572",2016-03-31,"$50,317,796",2015-12-31,"$49,045,482",2015-09-30,"$48,648,532",2015-06-30,"$48,251,715",2015-03-31,"$48,559,217",2014-12-31,"$48,679,772",2014-09-30,"$48,604,772",2014-06-30,"$47,567,470",2014-03-31,"$46,688,287",2013-12-31,"$45,764,133",2013-09-30,"$44,185,838",2013-06-30,"$44,511,718",2013-03-31,"$44,149,466",2012-12-31
"NORDSTROM, INC. (1760589)","SEATTLE, WA",NA,NA,NA,NA,"$11,419,552",2015-12-31,"$10,955,052",2015-09-30,"$11,051,860",2015-06-30,"$10,724,941",2015-03-31,"$10,616,919",2014-12-31,"$10,144,127",2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$121,509,559",2016-06-30,"$117,798,813",2016-03-31,"$116,749,572",2015-12-31,"$119,995,234",2015-09-30,"$119,942,945",2015-06-30,"$106,952,000",2015-03-31,"$109,946,485",2014-12-31,"$111,153,721",2014-09-30,"$105,761,163",2014-06-30,"$103,832,578",2014-03-31,"$102,947,333",2013-12-31,"$95,969,501",2013-09-30,"$97,236,008",2013-06-30,"$93,156,775",2013-03-31,"$97,463,845",2012-12-31
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$14,420,599",2016-06-30,"$11,932,374",2016-03-31,"$11,991,556",2015-12-31,"$11,915,290",2015-09-30,"$12,075,892",2015-06-30,"$11,951,362",2015-03-31,"$11,647,778",2014-12-31,"$11,179,846",2014-09-30,"$10,387,956",2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PACWEST BANCORP (2875332)","BEVERLY HILLS, CA","$21,147,143",2016-06-30,"$21,031,465",2016-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
